시행상태,지역,지원기관,공고명,신청가능일,지원대상,사업개요,최대지원한도,보증기간,상환방법,적용금리,우대사항,상세링크,출처,수집일
시행중,전국,17개 신용보증재단(대표번호 1588-7365),코로나피해 소상공인 분할상환 특례보증,2025.7.30 ~ 한도소진 시까지,소상공인등,"코로나피해 소상공인의 기존대출의 상환부담 완화를 위해 장기저리의 분할상환 보증부대출 전환 상품
지원대상 : '20.4.~'25.6월 중 사업을 영위하고, 동기간 지역신보 보증부대출 이용기업으로 아래 사항 중 어느 하나에 해당하는 기업
1) '20~'23년 중 연도말 매출액 대비 '24년말 매출액 감소한 기업
2) '20~'23년 중 발생한 채무 2건 이상 보유기업
3) 접수일 기준 중저신용자(NICE 기준 839점 이하)인 기업
4) 접수일 기준 최근 1년 이내 신용평점 100점 이상 하락한 기업
보증제한기업
1) 휴업 또는 폐업한 기업
2)현재 연체중인 기업
3)신용도 판단정보 보유기업 및 공공정보 중 체납정보 보유기업
4)보증신청인의 자가사업장 또는 자가주택에 대한 권리침해가 있는 기업
5)신용보증 대위변제 관계자(신보,기보 포함)
6)심사기준일 현재 국세 및 지방세 체납액 보유 기업",1억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=281,KOREG Official,2026-06-19
시행중,전국,17개 신용보증재단(대표번호 1588-7365),소상공인 비즈플러스 카드보증,2026.3.23 ~한도 소진시까지,"소상공인등

 , 
 저신용·취약계층","업력 6개월 이상의 중저신용(개인신용평점 595점 ~ 964점) 소기업 소상공인 중 매출요건을 만족하는 개인사업자를 대상으로
최대 1천만원 한도의 신용카드를 발급 지원합니다.
* 매출 요건 : 연매출 12백만원 또는 최근 2개월 매출액 2백만원 이상",1천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=276,KOREG Official,2026-06-19
시행중,전국,17개 신용보증재단(대표번호 1588-7365),미래성과연동 특례보증,2025.2.24 ~ 보증 한도 시까지,"성장

 , 

 소상공인등",미래 성장가능성이 높은 기업을 대상으로 성장 목표를 제시하고 성장 단계별 우대자금을 지원하는 보증상품,8억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=274,KOREG Official,2026-06-19
시행중,전국,17개 신용보증재단(대표번호 1588-7365),KB 소상공인컨설팅과 함께하는 금융지원 협약보증,2026.1.2 ~ 한도소진시까지,"성장

 , 

 소상공인등",국민은행 KB소상공인컨설팅센터로부터 본 협약보증을 추천받은 소기업 소상공인인 개인기업을 대상으로 금융 지원하는 상품,1억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=272,KOREG Official,2026-06-19
시행중,전북,"경북신용보증재단, 부산신용보증재단, 울산신용보증재단, 전남신용보증재단, 전북신용보증재단",소상공인 희망채움기금 금융지원 협약보증,2026.4.20 ~ 한도소진시 까지,소상공인등,"원전 주변지역 소상공인을 보증지원하여 경영안정 지원 및 경영안정 활성화를 도모하는 금융상품
지원대상 : 
신용보증신청 접수일 현재 아래 요건을 모두 충족하는 소기업·소상공인
- 사업자등록 후 가동(영업)중이며,
대표자 개인신용평점이 NICE기준 
755점 이상 또는 KCB기준 670점 
이상일 것(舊. 6등급)
-
주사업장이 원전 사업소 인근지역인 경주, 울진, 기장, 울주, 영광,
고창 소재일 것",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=288,KOREG Official,2026-06-19
시행중,전국,17개 지역신용보증재단(대표번호 1588-7365),프랜차이즈 가맹점 금융지원 협약보증,2025.11.7(금) ~,소상공인등,"(일반) 기업은행과 '프랜차이즈 
BaaS
서비스
’
를 가입한 가맹점]
(우대) 
BaaS
가맹점주 중 가맹본사의 우수 가맹점 추천을 받은 기업
- 
업력
1
년 미만인 경우

‘
창업든든
’, 1
년 이상인 경우
‘
경영안심
’
으로 구분 지원",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=286,KOREG Official,2026-06-19
시행중,전국,17개 지역신용보증재단(대표번호 1588-7365),골목상권 살리기 금융지원 협약보증,2025.11.7(금) ~,소상공인등,"개인신용평점이 710점 이상이며 아래의 요건 중 어느 하나에 해당하는 기업
(일반) 상권활성화구역, 자율상권구역 및 전통시장 소재 기업
(우대) 디지털온누리상품권가맹점, 제로페이 가맹점",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=285,KOREG Official,2026-06-19
시행중,경남,경남신용보증재단,한국은행 중소기업 지원자금 특별보증,~한도 소진시,소상공인등,"경남도에서 제조업을 영위 중인 소기업 등
 ※ 소기업 등 : 「중소기업기본법」제2조에 따른 중소기업 및「소상공인기본법」제2조에 따른 소상공인을 말함(신용보증규정 제3조 제11호)",3억원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=284,KOREG Official,2026-06-19
시행중,경남,경남신용보증재단,경상남도 소상공인 특별보증,~한도 소진시,소상공인등,"신용보증신청 접수일 기준 다음을 충족 하는 소상공인
➀현재 사업자 등록 후 6개월 이상(또는 180일 이상) 가동(영업) 중
➁대표자 개인신용평점이 780점 이상
➂재단 기보증잔액 5천만원 이하로 이용 중인 소상공인",5천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=283,KOREG Official,2026-06-19
시행중,경기,경기신용보증재단,경기 소상공인 힘내GO 카드 보증,~한도 소진시,소상공인등,"경기도 내 사업을 영위중인 소상공인(신용점수 595점 이상)
- 단, ‘법인기업’ 및 ‘공동대표인 개인사업자’는 지원대상에서 제외
(연체, 세금체납, 신용도판단정보 등 기본요건에 저촉되는 경우 이용이 제한될 수 있음)
- 신청금액을 포함하여 현재 보증기관 이용잔액이 1억원을 초과하는 경우 이용불가
(보증기관 : 신용보증기금, 기술보증기금, 지역신용보증재단)",1천만원,재단 문의,원금균등/분할,협약금리,보증료 감면 등,https://www.koreg.or.kr/haedream/gu/gurt/selectGurtList.do?mi=1124&gurtId=282,KOREG Official,2026-06-19
